Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Europe & Central Asia (IDA & IBRD countries),TEC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.4744437391754
European Union,EUU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.7386633777464
Fragile and conflict affected situations,FCS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.2769407730995
Heavily indebted poor countries (HIPC),HPC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.5507593478923
High income,HIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.0617028574584
IBRD only,IBD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.7181598662149
IDA & IBRD total,IBT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.8891753537131
IDA blend,IDB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.6719640958461
IDA only,IDX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.6531641630946
IDA total,IDA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.3146540500411
Late-demographic dividend,LTE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.273888232995
Latin America & Caribbean,LCN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.8888555976171
Latin America & Caribbean (excluding high income),LAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.4218535389678
Latin America & the Caribbean (IDA & IBRD countries),TLA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.9123307981194
Least developed countries: UN classification,LDC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.183200899884
Low & middle income,LMY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.6237883940231
Low income,LIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.1343404628313
Lower middle income,LMC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.8418509698702
Middle East & North Africa,MEA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.3131692463537
Middle East & North Africa (excluding high income),MNA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.591124938895
Middle East & North Africa (IDA & IBRD countries),TMN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.4174454026043
Middle income,MIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.5714804331229
North America,NAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.3616890265939
Not classified,INX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,..
OECD members,OED,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.813586872816
Other small states,OSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.6137251820681
Pacific island small states,PSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,38.8827944465255
Post-demographic dividend,PST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.4738276186219
Pre-demographic dividend,PRE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,41.9310319358134
Small states,SST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.1980447262236
South Asia,SAS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.4446340578761
South Asia (IDA & IBRD),TSA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.4446340578761
Sub-Saharan Africa,SSF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.7592828637136
Sub-Saharan Africa (excluding high income),SSA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.7578587116271
Sub-Saharan Africa (IDA & IBRD countries),TSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.7592828637136
Upper middle income,UMC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.6875389597489
World,WLD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.6279105319621
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/19/2023,,,,
